2016-10-23 00:00:00.2142 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:00:01.5453 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:00:01.7803 | INFO | _61850_Client_v1._0a.atopLog | TRANSFIXOilSourceA/SIML1.Pres.CF.units.SIUnit Value: 39 , Backend Type : IReg Addr : 45 Value : 0 

2016-10-23 00:00:02.7484 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:00:02.9554 | INFO | _61850_Client_v1._0a.atopLog | TRANSFIXOilSourceA/SIML1.Pres.CF.units.multiplier Value: 3 , Backend Type : IReg Addr : 46 Value : 0 

2016-10-23 00:00:03.9395 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:00:05.1085 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:00:05.3165 | INFO | _61850_Client_v1._0a.atopLog | TRANSFIXOilSourceA/SIML1.H2O.CF.units.SIUnit Value: 1 , Backend Type : IReg Addr : 47 Value : 0 

2016-10-23 00:00:06.2236 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:00:07.4397 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:00:08.8867 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:00:10.4258 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:00:10.6728 | INFO | _61850_Client_v1._0a.atopLog | TRANSFIXOilSourceA/SIML1.H2ppm.CF.units.SIUnit Value: 52 , Backend Type : IReg Addr : 49 Value : 0 

2016-10-23 00:00:11.7569 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:00:13.0410 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:00:13.2770 | INFO | _61850_Client_v1._0a.atopLog | TRANSFIXOilSourceA/SIML1.N2ppm.CF.units.SIUnit Value: 52 , Backend Type : IReg Addr : 50 Value : 0 

2016-10-23 00:00:14.7631 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:00:16.1172 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:00:16.3442 | INFO | _61850_Client_v1._0a.atopLog | TRANSFIXOilSourceA/SIML1.COppm.CF.units.SIUnit Value: 52 , Backend Type : IReg Addr : 51 Value : 0 

